code,product_name,brands,categories
52011437256060,Sampon za kosu Syoss Keratin 750ml,Syoss,Lična higijena i kozmetika
52011437289420,Gel za tusiranje Sport SG  FA 750ml,Fa,Lična higijena i kozmetika
52011437289800,Gel za tusiranje Fa Cocoa Butter 750ml,Fa,Lična higijena i kozmetika
52011682152980,Feta Dodoni 200g,Dodoni,"Mleko, mlečni, mešoviti jaja"
52011682156490,Feta Dodoni 400g,Dodoni,"Mleko, mlečni, mešoviti jaja"
52011684161070,Dodoni grcki jogurt 8% 150g,Dodoni,"Mleko, mlečni, mešoviti jaja"
52011684161210,Dodoni grcki jogurt 0% 150g,Dodoni,"Mleko, mlečni, mešoviti jaja"
52011684161450,Grcki jogurt 2%m.m. Dodoni 150g,Dodoni,"Mleko, mlečni, mešoviti jaja"
52011686155550,Grcki ovseni jogurt vanila Dodoni 150g,Dodoni,"Mleko, mlečni, mešoviti jaja"
52011686155620,Grcki ovseni jogurt jab./cim.Dodoni 150g,Dodoni,"Mleko, mlečni, mešoviti jaja"
52011688150470,Sir kozji Dodoni 200g,Dodoni,"Mleko, mlečni, mešoviti jaja"
52011689150130,Sir Halloumi Dodoni 225g,Dodoni,"Mleko, mlečni, mešoviti jaja"
52012246125040,Kivi komad,Maxi pijaca,Sveže voće i povrće
52013140537430,Dnevna krema Bioten Hyalouronic 50ml,Bioten,Lična higijena i kozmetika
52013140537500,Nocna krema Bioten Hyalouronic 50ml,Bioten,Lična higijena i kozmetika
52013140537670,Krema za oci Bioten Hyalouronic 15ml,Bioten,Lična higijena i kozmetika
52013140866280,Alu folija i papir za pec.2 u 1 5m Fino,Fino,Papirna i kuhinjska galanterija
52013140866970,Krema dnevna Bioten M.Collagen 50ml,Bioten,Lična higijena i kozmetika
52013140867030,Krema nocna Bioten M.Collagen 50ml,Bioten,Lična higijena i kozmetika
52013140867270,Serum za lice Bioten M.Collagen 30ml,Bioten,Lična higijena i kozmetika
52013140883870,Krema za telo Bioten kokos 250ml,Bioten,Lična higijena i kozmetika
52013140909530,Krema/ruke brzo upijanje Bio100ml,Bioten,Lična higijena i kozmetika
52013140931140,Kesa za smece Fino easy pack 35l/30kesa,Fino,Papirna i kuhinjska galanterija
52013140948380,Papir za pecenje u listovima Fino 16 kom,Fino,Papirna i kuhinjska galanterija
52013141065860,Losion posle brijanja Str8 Ahead 50ml,STR 8,Lična higijena i kozmetika
52013141071700,Dezodorans sprej Str8 Ahead 150ml,STR 8,Lična higijena i kozmetika
52013141138810,Kese za smece Fino HD 40l 20kom,Fino,Papirna i kuhinjska galanterija
52013141138980,Kese za smece Fino HD 70l 15kom,Fino,Papirna i kuhinjska galanterija
52013141139110,Kese za smece Green life Fino 35l/15 kom,Fino,Papirna i kuhinjska galanterija
52013141139280,Kese za smece Green life Fino 60l/10 kom,Fino,Papirna i kuhinjska galanterija
52013141148330,Piling krema Bioten norm.koza 150ml,Bioten,Lična higijena i kozmetika
52013141148400,Gel za umivanje Bioten norm.koza 200ml,Bioten,Lična higijena i kozmetika
52013141148640,Gel za umivanje Detox Bioten 200ml,Bioten,Lična higijena i kozmetika
52013141286870,Krema dnevna Bioten hyaluronic gold 50ml,Bioten,Lična higijena i kozmetika
52013141286940,Krema nocna Bioten hyaluronic gold 50ml,Bioten,Lična higijena i kozmetika
52013141294310,Natural sprej BU Absolute Me 75ml,BU,Lična higijena i kozmetika
52013141296840,Rolon hyualuronic Bioten 50ml,Bioten,Lična higijena i kozmetika
52013141296910,Rolon bez tragova Bioten 50ml,Bioten,Lična higijena i kozmetika
52013141297380,Rolon organska ruza Bioten 50ml,Bioten,Lična higijena i kozmetika
52013141309940,Dezodorans Wild BU 150ml,BU,Lična higijena i kozmetika
52013141310830,Dezodorans BU Absolute Me 150ml,BU,Lična higijena i kozmetika
52013141311200,Deo sprej Fairy sprej BU150ml,BU,Lična higijena i kozmetika
52013141312670,Dezodor. antiper. hyualuron Bioten 150ml,Bioten,Lična higijena i kozmetika
52013141312810,Dezodorans antiper. vit.C Bioten 150ml,Bioten,Lična higijena i kozmetika
52013141445260,Krema za lice vit.C Bioten nocna 50ml,Bioten,Lična higijena i kozmetika
52013141450040,Gel za tusiranje FR34K STR8 250ml,STR 8,Lična higijena i kozmetika
52013141450110,Gel za tusir. FR34K STR8 400ml,STR 8,Lična higijena i kozmetika
52013141450730,Dezodorans sprej FR34K STR8 150ml,STR 8,Lična higijena i kozmetika
52013141491180,Gel za tusiranje Str8 Ahead 250ml,STR 8,Lična higijena i kozmetika
52013141497500,Losion posle brij.Str8 Original 100ml,STR 8,Lična higijena i kozmetika
52013141497670,Losion posle brijanja Str8 Original 50ml,STR 8,Lična higijena i kozmetika
52013141498110,Losion posle brijanja Str8 Red Code 50ml,STR 8,Lična higijena i kozmetika
52013141498800,Gel za tusiranje Str8 Original 250ml,STR 8,Lična higijena i kozmetika
52013141498970,Gel za tusiranje Str8 Original 400ml,STR 8,Lična higijena i kozmetika
52013141499030,Gel za tusiranje Str8 Red Code 250ml,STR 8,Lična higijena i kozmetika
52013141499100,Gel za tusiranje STR8 Red Code 400ml,STR 8,Lična higijena i kozmetika
52013141499890,Gel za tusiranje Str8 Ahead 400ml,STR 8,Lična higijena i kozmetika
52013141504280,Sprej N One Love BU 75ml,BU,Lična higijena i kozmetika
52013141507700,Krema nocna Bio Calcium 55+50ml,Bioten,Lična higijena i kozmetika
52013141531910,Deo sprej One love Bu150ml,BU,Lična higijena i kozmetika
52013141532900,Deo sprej BU hidden paradise 150ml,BU,Lična higijena i kozmetika
52013141533200,Dezodorans sprej Heartbeat BU 150ml,BU,Lična higijena i kozmetika
52013141533680,Dezodorans Trendy BU 150ml,BU,Lična higijena i kozmetika
52013141535420,Dezodorans sprej Str8 Original 150ml,STR 8,Lična higijena i kozmetika
52013141535730,Dezodorans sprej Str8 Red Code 150ml,STR 8,Lična higijena i kozmetika
52013141536890,Dezodorans STR8 Original 200ml,STR 8,Lična higijena i kozmetika
52013141543030,Kese za smece elasticne Fino 35l/15kom,Fino,Papirna i kuhinjska galanterija
52013141543270,Kese za smece elasticne Fino 60l/10kom,Fino,Papirna i kuhinjska galanterija
52013141549380,Dezodorans BU heartbeat 150+50ml,BU,Lična higijena i kozmetika
52013141589500,Krema CC skin moist.svetla Bioten 50ml,Bioten,Lična higijena i kozmetika
52013141589740,Bio Cc Skin Moist Kr Medium 50ml,Bioten,Lična higijena i kozmetika
52013141637870,Dezodorans STR8 Red Code 200ml,STR 8,Lična higijena i kozmetika
52013141686900,Sprej STR8 N Original 85ml,STR 8,Lična higijena i kozmetika
52013141703580,Losion aftershave Game STR8 50ml,STR 8,Lična higijena i kozmetika
52013141703650,Sprej N Game STR8 85ml,STR 8,Lična higijena i kozmetika
52013141703720,Gel za tusiranje Game  STR8 250ml,STR 8,Lična higijena i kozmetika
52013141703890,Gel za tusiranje Game STR8 400ml,STR 8,Lična higijena i kozmetika
52013141704570,Deo sprej STR8 game 150ml,STR 8,Lična higijena i kozmetika
52013141716690,Dnevna krema Bio Hydro X Cell Sensi 50ml,Bioten,Lična higijena i kozmetika
52013141716830,Serum za Lice Bio HydroXCell Serum 30ml,Bioten,Lična higijena i kozmetika
52013141724200,Kese za smece Fino Aroma T.Flex 35L 15/1,Fino,Papirna i kuhinjska galanterija
52013141724370,Kese za smece Fino Aroma T.Flex 60L 10/1,Fino,Papirna i kuhinjska galanterija
52013141725500,Papir za pecenje u listovima 30 kom Fino,Fino,Papirna i kuhinjska galanterija
52013141834260,Kesa Fino termo,Fino,Papirna i kuhinjska galanterija
52013141834330,Piling/lice crv bobice Bioten 150ml,Bioten,Lična higijena i kozmetika
52013141847990,Deo sprej BU Natural Vibe 75ml,BU,Lična higijena i kozmetika
52013141854820,Deo Spray Orig STR8 250ml,STR 8,Lična higijena i kozmetika
52013141854990,Deo Spray Red Code STR8 250ml,STR 8,Lična higijena i kozmetika
52013141857960,Deo sprej BU Vibe 150ml,BU,Lična higijena i kozmetika
